prompt,completion
"Says Steve Bullock “failed to act” when his “most senior political aide was caught sexually harassing women. Bullock knew about the harassment but said nothing, remaining silent when the aide took another job where he harassed women again.”A campaign ad says Bullock ""failed to act"" when his ""most senior political aide was caught sexually harassing women. Bullock knew about the harassment but said nothing, remaining silent when the aide took another job where he harassed women again.""
It’s not accurate that Bullock didn’t act. O’Brien was working for the Democratic Governor’s Association when allegations of sexual harassment surfaced, ultimately leading to O’Brien’s termination. Bullock, who was chair of the association at the time, says that when he became aware of the allegations, he decided it was appropriate to terminate O’Brien.
However, Bullock has conceded that he didn’t tell Bill de Blasio about the reasons for O’Brien’s termination when he became aware that the NYC mayor’s office had hired him. O’Brien was subsequently fired again for harassing two additional women.
The claim is partially accurate but leaves out some important details. We rate it Half True.
sub-questions:","1. Did Bullock ""fail to act"" when his most senior political aide was caught sexually harassing women?
2. Did Bullock remain silent about his former aide's sexual assaults when he took new job?
3. Did Bullock's aide continue to sexually harass women upon taking a new job?
4. Did Bullock know about the harassment?
5. Did Bullock's failure to act/actions overall lead to more harassment?
6. Did Bullock fail to act when learning of his employee's harassment? "
"""I’m proud to say that under my administration, as you just heard, we will be building the first new heavy icebreakers the United States has seen in over 40 years.""Trump said, ""I’m proud to say that under my administration, as you just heard, we will be building the first new heavy icebreakers the United States has seen in over 40 years.""
He has a point that the heavy icebreaker being built is the first  since the 1970s.
If all goes according to schedule, construction will begin in 2020 with delivery in 2023. That puts the building phase within his first term, but as with any large project, the timeline can slip.
Regardless, this has been an ongoing project that has been receiving funding from the government since 2013.
Trump’s statement implied that the efforts to build the icebreaker came from his administration when in fact it was already in progress before he took office. We rate this claim Half True.
sub-questions:","1. Will the heavy icebreaker be the first built in over 40 years?
2. Did the Trump administration initiate plans for the heavy icebreaker?
3. Is the heavy icebreaker slated to be completed while Trump is in office?
4. Was Trumps administration the first to build new heavy icebreakers in over 40 years?
5. Did any other administration build new heavy icebreakers in the last 40 years?
6. Is the U.S. receiving new icebreakers for the first time in the last 40 years?"
"""Because of Bruce Rauner, Illinois went 736 days without a budget, delaying funding for schools while local governments were forced to raise property taxes.""Pritzker’s ad says that ""because of Bruce Rauner, Illinois went 736 days without a budget, delaying funding for schools while local governments were forced to raise property taxes.""
The budget impasse did cause state reimbursements for special education, transportation and several other programs to lag.
Yet the Democrat’s ad implies a far broader impact on school funding, ignoring that general state aid to fund day-to-day school operations was provided for even while a broad array of spending for other state programs was not.
As for property tax hikes, it’s likely that many school districts raised their levies as the broader budget impasse was ongoing. But that is routine in Illinois, a consequence of state policies that foist the lion’s share of responsibility for overall school funding on to local property tax payers.
What’s more, the ad blames Rauner alone for the budget impasse that caused the delay. But Rauner and Democratic lawmakers butted heads for two years over spending and policy priorities, meaning he hardly acted alone.
There are small elements of truth sprinkled through Pritzker’s ad, but he takes significant liberties in seeking to attach sole blame to Rauner for the budget impasse and then link that to school funding delays and property tax hikes. We rate it Mostly False.
sub-questions:","1. Did Illinois' lack of budget delay funding for public services, including school programs?
2. Did Illinois' lack of budget delay deeply impact funding for schools?
3. Did local governments raise their property taxes?
4. Did local governments raise property taxes because of the budget delay?
5. Is Bruce Rauner alone responsible for the budget delay?
6. Was Rauner solely responsible for Illinois going 736 days without a budget?
7. Did Rauner play a role in local govs. being forced to raise property taxes?
8. Did Rauner play a role in delaying funding for schools?
9. Did Rauner play a role in Illinois going 700+ days without a budget?
10. During Illinois' budget crises, did schools remain entirely unfunded?"
"“Since Trump labeled ANTIFA a terrorist organization their rights were stripped by the Patriot Act which states if someone is labeled a terrorist they are not afforded due process.”The Instagram post claims that, since antifa is a terrorist organization, its members’ due process rights are stripped by the Patriot Act.
That’s wrong.
Antifa is not an organized group and has not been designated as a terrorist organization. Even if it were, American antifa activists would still have due process rights afforded to them by the Constitution. The Patriot Act does not give federal law enforcement officials the right to detain suspected terrorists who are U.S. citizens without probable cause.
The Instagram post is inaccurate. We rate it False.
sub-questions:","1. Is Antifa classified as a terrorist organization?
2. Does being classified as a terrorist org. mean due process rights are stripped by the Patriot Act?
3. Does the Patriot Act strip due process rights?
4. Is ANTIFA a terrorist organization?
5. Would ANTIFA activists be afforded due process?
6. Does the Patriot Act strip U.S. citizens of due process rights?"
"""It’s bad enough that (Stephen) Silberkraus appeared in a sexual fetish film where women were kidnapped from their homes and forced to live naked in kennels and trained to be pets. But when Silberkraus isn’t acting in films that degrade women, he’s stalking them in his personal time.""A campaign mailer in a competitive Nevada Assembly race accuses Silberkraus of appearing in a ""sexual fetish film"" and being detained for ""stalking.""
Silberkraus did appear briefly as an extra in a 2006 movie that centered around a myriad of sexual fetishes. He says he doesn’t agree with the film’s message.
The stalking allegation holds less water, stemming from a primary opponent who accused him of stalking her several years ago. No official record exists, and he was not arrested.
The claim contains an element of truth but distorts facts to create an inaccurate impression. We rate it Mostly False.
https://www.sharethefacts.co/share/a51c9421-8057-40d7-93e6-1b77fcca1f14
sub-questions:","1. Does Silberkraus appear in a sexual fetish film?
2. Does Silberkraus advocate for sexual fetishes?
3. Has Silberkraus been accused of stalking women?
4. Was Silberkraus arrested for stalking women?
5. Did Silberkraus appear in a sexual fetish film?
6. Was Silberkraus once detained for stalking?
7. Does Silberkraus have a criminal history?
8. Was Silberkraus accused of stalking?"
"""The majority of Georgians incarcerated in local jails have never been convicted of crime. They are simply too poor to pay their bail.""Abrams said, ""The majority of Georgians incarcerated in local jails have never been convicted of crime. They are simply too poor to pay their bail.""
State data shows that the majority of people in county jails are awaiting trial. A criminal justice professor cautioned that claiming they ""have never been convicted of crime"" could be an overstatement, since some individuals may have had prior convictions.
The state report did not indicate how many people were jailed because they could not afford bail. Yet experts told us that based on national trends, it’s possible that many Georgians in jail are there because they cannot pay for bail for current charges.
With those caveats, we rate Abrams' statement Half True.
sub-questions:","1. Have the majority of Georgians in local jails been convicted of crimes they are arrested for?
2. Have the people in jail awaiting trial never been convicted of crime?
3. Are all the people in jail without conviction there because they could not pay bail?
4. Does the inability to afford bail keep people in local jails without conviction?
5. Are the majority of Georgians incarcerated in local jails waiting conviction?
6. Are all the Georgians incarcerated without conviction too poor to pay bail?
7. Are some Georgians incarcerated without conviction because they cannot afford to pay bail?"
"Because George Holding doesn’t live in the congressional district he’s running for, he ""doesn’t experience the same things that we are all experiencing.""Ellmers said Holding doesn’t live in the 2nd District and thus doesn’t understand the experiences of its constituents.
While he doesn’t live in the district, Holding does represent most of the people who will be in the new 2nd District.
Some of the areas will be new to him, and he will lose some of his current constituents. But on the whole, if Holding wins the election, this district’s challenges and needs will be largely the same as his current district’s. We rate this claim Mostly False.
sub-questions:","1. Does George Holding live in the congressional district he is running for?
2. Does George Holding understand the experiences of the constituents of the district he is running for?
3. Will George Holding be completely familiar with the district he is running for?
4. Does Holding not live in the district he's running for?
5. Is Holding unable to relate to his constituents because of living in a different district?
6. Will Holding's different district living drastically affect representation of his constituents?"
"Says President Donald Trump implemented “a travel ban that just didn't work, 400,000 people got in from those countries that were subject to the restrictions.”Murphy said Trump implemented ""a travel ban that just didn't work, 400,000 people got in from those countries that were subject to the restrictions.""
That is wrong. The New York Times reported a much lower number for people who flew directly into the U.S. from China after Trump’s limits went into effect — around 40,000 over two months. Those travelers were American citizens and other travelers exempted from the restrictions.
The number is slightly higher when you factor in the number of travelers who took indirect flights and the number who have come in since the New York Times published its analysis in April. But it’s still far from 400,000.
We rate Murphy’s statement False.
sub-questions:","1. Did 400,000 travelers subject to Trump's travel ban restrictions get into the U.S.?
2. Were the people who entered the U.S. from the countries listed in the travel ban exempt from restrictions?
3. Did 400,000 people travel from countries restricted under Trump's travel ban?
4. Were those who traveled to the U.S. from countries under the travel ban facing restrictions themselves?"
"Schools stopped teaching children cursive so they wouldn’t be able to read the U.S. Constitution and other historical documents.A video on Facebook claims that schools stopped teaching cursive to make sure children couldn’t read the U.S. Constitution, and other important historical documents.
This is bogus. Even if that were the intention, it would not be a very good plan. The founding documents have been available in typeset, printed form almost since they were first written, and have been archived and digitized many times over.
We rate the claim Pants on Fire!
sub-questions:","1. Have schools stopped teaching cursive?
2. Would people be able to read the Constitution if they do not know cursive?
3. Did schools stop teaching cursive?
4. Did schools stop teaching cursive to prevent children from reading the U.S. Constitution and other historical documents?"
"Says Dr. Anthony Fauci in an email ""advises a family member to use (hydroxychloroquine) and antibiotic therapy, the same evening in which in a press conference he attacked (President Donald Trump) on the usefulness of (hydroxychloroquine) to fight the virus.”A Facebook post said that one of Fauci's ""most incredible emails is the one in which he advises a family member to use (hydroxychloroquine) and antibiotic therapy, the same evening in which in a press conference he attacked (Trump) on the usefulness of  (hydroxychloroquine) to fight the virus.""
We found nothing in Fauci’s publicly disclosed emails that supports the claim that he urged a close relative to use hydroxychloroquine. To the contrary, Fauci in his emails was consistent in arguing, both publicly and privately, that anecdotal evidence supporting hydroxychloroquine’s efficacy in the pandemic would need to be demonstrated in a controlled clinical trial before its use could be recommended.
We rate the statement False.
Andy Nguyen contributed to this article.
sub-questions:","1. Did Fauci's emails advise people to use  hydroxychloroquine?
2. Did Fauci's emails speak against using hydroxychloroquine?
3. Has Fauci attacked ( President Donald Trump ) on the usefulness of ( hydroxychloroquine ) to fight the virus?
4. Did Fauci advise family in an email to use hydroxychloroquine and antibiotic therapy?
5. Has Fauci ever advocated for the use of hydroxychloroquine and antibiotic therapy for COVID?"
"Says a ""recent analysis"" showed that 91 percent of Deferred Action for Childhood Arrivals (DACA) recipients are employed, in school or serving in the military.Castro said a ""recent analysis"" showed that 91 percent of DACA recipients are employed, in school or serving in the military.
Some 97 percent of respondents to an August 2017 online survey reported being employed or in school. However, the researchers asked no questions about military service.
We rate this claim Mostly True.
MOSTLY TRUE– The statement is accurate but needs clarification or additional information. Click here formoreon the six PolitiFact ratings and how we select facts to check.
sub-questions:","1. Are exactly 91% of DACA recipients employed, in school, or in the military?
2. Are a significant number of DACA recipients either employed or in school?
3. Are a significant number of DACA recipients in the military
4. Does data support that 91 percent of DACA recipients are employed , in school or serving in the military?
5. Does data support that 91% of DACA recipients are employed or in school?"
"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""Clinton said New START, passed while she was secretary of state, was a ""treaty cutting Russia’s nuclear arms.""
The treaty hasn’t cut Russia’s nuclear arms yet. But if it does in the future, after the treaty is fully implemented in 2018, it seems that any reductions would be minimal rather than sweeping.
New START has a limited impact in that it focuses on one portion of Russia’s nuclear program: deployed strategic weapons. The treaty does place tighter limits on these weapons than any past treaty. But Russia was actually already meeting the treaty’s limits, for the most part, when treaty implementation began.
Also, the treaty does not restrict either country from stockpiling weapons, nor does it require them to destroy any existing weapons.
We rate her claim Half True.
sub-questions:","1. Has the New START treaty cut Russia's nuclear arms so far?
2. Could the New Start treat cut Russia's nuclear arms upon completion?
3. Will the New Start treaty have a large impact on Russia's nuclear arms numbers?
4. Does New START cut Russia's nuclear arms entirely?
5. Does New START play any general role in reducing Russia's nuclear arms?
6. Would New START prevent Russia from having nuclear weapons entirely?"
"Even our attorney general who is a strong Democrat, she has said that we need causation in our workers’ comp system. That’s the No. 1 thing pushing our manufacturing jobs out of Illinois.Rauner said, ""Even our attorney general who is a strong Democrat, she has said that we need causation in our workers’ comp system.""
In 2012, Attorney General Lisa Madigan’s office went on record in considerable detail about the problems caused by Illinois’ lenient burden of proof for workers claiming workplace injury. The attorney general didn’t explicitly endorse the causation standard contained in a bill before the General Assembly at that time, but said the bill ""provides an opportunity to discuss the appropriate language to make this needed change.""
Today, even as this issue has become a focal point in Rauner’s deadlock with Speaker Madigan, Attorney General Madigan’s office maintains that the state should find ""reasonable ways"" to protect the rights of injured workers and employers.
We rate Rauner’s statement True.
https://www.sharethefacts.co/share/4d40d9ba-0159-4404-a764-69d792bbe061
sub-questions:","1. Did the AG explicitly say we need causation in our workers comp system?
2. Did the AG indicate some sort of general support for causation in the workers comp system?
3. Did Illinois' attorney general point out flaws in the state's workers comp system?
4. Did Illinois' attorney general say that they need causation in their workers comp system?
5. Does the Illinois attorney general value workers and employees rights?"
"""This will be the last time — April — that you’re going to (fill out) that old-fashioned, big, lots of pages, complicated tax form. Because next April you’re going to, in many cases, (file) one page, one card. It’s going to be very, very different. Very, very different.""Trump said, ""This will be the last time — April — that you’re going to (fill out) that old-fashioned, big, lots of pages, complicated tax form. Because next April you’re going to, in many cases, (file) one page, one card. It’s going to be very, very different. Very, very different.""
There is no new card- or postcard-filing option in the pipeline due to the law passed last December. As it happens, simpler filing options already exist and are widely used — but tax experts do not expect a surge in their use as a result of the tax bill in April 2019.
We rate the statement Mostly False.
sub-questions:","1. Did Trump implement different tax filing mechanisms in a year?
2. In general, was Trump responsible for introducing simpler tax filing processes?
3. Is there a new, simplified tax form due to Trump's legislation? 
4. Are there existing simplified tax forms?
5. Is doing taxes in 2022 very, very different from doing taxes in 2018?"
"""NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country.""Trump said ""NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country.""
Ratings were down 8 percent in 2016, but experts said the drop was modest and in line with general ratings for the sports industry. The NFL remains the most watched televised sports event in the United States.
Ratings in 2017 so far suggest a similar year-on-year drop, but experts say it’s too early to tell, and external factors like Hurricane Irma, which coincided with the season’s first week, may help explain the drop.
NFL game attendance dropped slightly from 2016 to 2017, and rose from 2015 to 2016.
As for political motivation, there’s little evidence to suggest people are boycotting the NFL. Most of the professional sports franchises are dealing with declines in popularity.
We rate this claim Mostly False.
sub-questions:","1. Was NFL attendance down?
2. Are the NFL ratings down?
3. Are people not watching NFL based on political motivations?
4. Are NFL ratings down because people were refusing to watch for political motivations?
5. Were NFL ratings down in 2016?
6. Were the NFL attendance and ratings down by a large amount in 2016?
7. Were NFL  ratings down in 2017? 
8. Was NFL attendance down in 2017
9. Are people staying away from football because they love the country?"
"""During the AIDS crisis, can you imagine if gay men and intravenous drug users … had they been pariahs the way the non-vaccinated are? But it would've been inconceivable.""Prager said, ""During the AIDS crisis, can you imagine if gay men and intravenous drug users ... had they been pariahs the way the non-vaccinated are? But it would've been inconceivable.""
To suggest that gay men and intravenous drug users were not considered pariahs during the AIDS crisis of the 1980s is entirely inaccurate. The evidence of the opposite abounds: contemporary survey data on attitudes about homosexuality; the existence of laws against consensual gay sex; the near-passage of an AIDS quarantine law in California; calls by prominent commentators for banning HIV-positive people from certain jobs or even tattooing them; jokes about the disease by White House officials; and the need for the gay community to build their own institutions to grapple with the disease because existing institutions were insufficient.
We rate the statement Pants on Fire.
sub-questions:","1. Were gay men and intravenous drugs users considered pariahs during the AIDS crisis?
2. Are non-vaccinated people considered pariahs?
3. Were gay men/IV drug users not considered pariahs during the AIDs crisis?
4. During the AIDS crisis, was there evidence of public sentiment against Gay men/ IV drug users"
"""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program"" and ""got Russia and China to support them.""Bill Clinton said, ""As secretary of state, (Hillary Clinton) worked hard to get strong sanctions against Iran's nuclear program"" and ""got Russia and China to support them.""
During Hillary Clinton’s first 18 months as secretary, the State Department led the global effort to increase sanctions on Iran — notably getting Russia and China on board — culminating in an important U.N. resolution. Clinton was personally involved in these diplomatic efforts and pushed them publicly. Experts said these sanctions, on top of other sanctions passed before and after, were crucial to getting Iran to the negotiating table.
However, Clinton wasn’t singularly responsible for the sanctions or getting China and Russia to support them, just as the sanctions passed under her watch likely weren’t singularly responsible for opening up Iran to talks.
We rate Bill Clinton’s statement Mostly True.
sub-questions:","1. As Secretary of State, was Hilary Clinton involved in increasing sanctions against Iran's nuclear program?
2. Was Hillary Clinton able to get China and Russia on board with sanctions against Iran?
3. Was Hillary Clinton the only person working to increase sanctions against Iran's nuclear program and involve China and Russia?
4. As SoS, did Clinton involved sanctions against Iran's nuclear program?
5. As SoS, was Clinton involved in getting both Russia and China to support sanction's against Iran's nuclear program?
6. Was Clinton solely responsible for the sanctions?
7. Was Clinton solely responsible for obtaining Russia and China's collaboration?"
"""Right now, our corrections department charges taxpayers between $30,000 and $40,000 a year per person we lock up,"" she said. ""That’s actually cheap when you compare us to the rest of the country.""Kleefisch said that the state Department of Corrections ""charges taxpayers between $30,000 and $40,000 a year per person we lock up. That's actually cheap, when you compare us to the rest of the country.""
The annual per-inmate cost from DOC does fall within the range she cited.
While Kleefisch labeled Wisconsin as cheap compared to other states, the best available numbers suggest the state, at best, is more in the middle of the pack than close to the bottom.
For a statement that is partially accurate but leaves out important details or takes things out of context, our rating is Half True.
sub-questions:","1. Is corrections charging taxpayers 30-40,000 a year per person incarcerated?
2. Is 30-40k per year per person cheaper than the rest of the country?
3. Is Wisconsin cheaper than most/all other states incarceration costs?
4. Does the DOC charge taxpayers $30-40,000 per year per inmate?
5. Is $30,000 to 40,000 cheap compared to other states?"
"A Texas law requires every high school to have a voter registrar ""and part of their responsibility is to make sure that when children become 18 and become eligible to vote, that they vote.""Saldaña said a Texas law requires every high school to have a voter registrar ""and part of their responsibility is to make sure that when children become 18 and become eligible to vote, that they vote.""
A 1983 law requires every high school to have a deputy voter registrar tasked with giving eligible students voter registration applications. Each registrar also must make sure submitted applications are appropriately handled.
However, the law doesn’t require registrars to make every eligible student register; it's up to each student to act or not. Also, as Saldaña acknowledged, registrars aren’t required to ensure that students vote.
We rate this statement Half True.
HALF TRUE– The statement is partially accurate but leaves out important details or takes things out of context.
Click here formoreon the six PolitiFact ratings and how we select facts to check.
sub-questions:","1. Is there a Texas law that requires every high school to have a voter registrar "" 
2. Is it the registrar's job to ensure every 18 year old votes?
3. Is it part of the voter registrar's job to encourage registration and voting?
4. Does a Texas law require every high school to have a voter registrar?
5. Does the Texas law/voter registrar direct efforts to make sure children actually vote?
6. Does the Texas law/voter registrar direct efforts to make sure children actually register to vote?"
"Says Susana Mendoza’s assertion that she fought efforts to hike vehicle sticker prices when she was Chicago’s city clerk ""is absurd … Mendoza pushed a draconian sticker penalty program.""Vallas said, ""Mendoza’s assertion that she fought Rahm Emanuel’s efforts to drastically raise city sticker prices is absurd ... Mendoza pushed a draconian city sticker penalty program.""
Vallas is correct that Mendoza backed hiking tickets for violating city sticker requirements during her time as city clerk, a policy that has financially burdened thousands of low-income Chicagoans.
But he’s off base in calling into question Mendoza’s well-documented opposition to Emanuel’s sticker price increase.
We rate his partially accurate statement Half True.
sub-questions:","1. Did Mendoza fight Emanuel's efforts to raise city sticker prices?
2. Did Mendoza push a city sticker penalty program?
3. Did Mendoza claim to fight Emanuel's efforts to raise city sticker prices?
4. Did Susana Mendoza support a hike in vehicle sticker prices?
5. Did Susana Mendoza support a sticker penalty program?
6. Was Susana Mendoza's sticker penalty program accurately described as draconian?"
"""For the first time ever, we completely funded the critical needs waiting list so persons with unique abilities can get the help they need.""Scott said, ""For the first time ever, we completely funded the critical needs waiting list"" for people with disabilities.
Advocates said Scott has a point about working to help around 5,000 disabled Floridians get off a narrow waiting list, but he left out two pieces of important context.
First, the critical needs waiting list is a category that Scott’s administration came up with about three years ago, so it’s not as if he had any historical competition. The state offered services to everyone on the critical needs list in 2014 and 2015, and Scott wants to do it again this year.
However, Scott omits that those on the critical needs list are a subset of the overall waiting list of about 20,000 people.
We rate this statement Half True.
sub-questions:","1. Is is true that for the first time, Scott was able to completely fund a critical needs waiting list for peoples with disabilities?
2. At any  other point in time, was the critical needs waiting list completely funded for people with disabilities?
3. Was the waiting list overall completely funded?
4. Did Rick Scott get full assistance to everyone on the critical needs wait list? 
5. Was this a historic moment for the critical needs waiting list?
6. Does the critical needs list cover everyone with unique abilities in need of assistance?"
"“Every single swing-seat House Democrat who endorsed #MedicareForAll won re-election or is on track to win re-election. Every. Single. One.”Ocasio-Cortez said that every House Democrat in a swing seat who supports Medicare for All won their race.
Ocasio-Cortez's statement is true as far as it goes, but it leaves a misleading impression. Only two of the 23 Democratic incumbents running for re-election whose races the Cook Political Report rated as ""toss-up"" or ""lean Democratic"" had signed on as co-sponsors of the bill.
We rate her statement Mostly True.
sub-questions:","1. Did every swing seat Democrat who endorsed #Medicareforall win re-election?
2. Did many of the swing-seat Democrats who ran for re-election support #Medicareforall?
3. Did all of these swing-seat Democrats endorse this plan?
4. Do most of the other Democratic incumbents endorse this plan?
5. Are both of these swing-seat Democrats on track to be re-elected?"
"Says Thom Tillis voted to support Trump’s emergency declaration to fund the border wall even though it would ""raid $80 million from North Carolina.""The DSCC said Tillis supported Trump’s emergency declaration, which enabled the administration to raid $80 million from North Carolina military projects.
The group is correct that the Trump administration diverted $80 million that had been appropriated by Congress for four military projects in North Carolina. But that included an elementary school at Fort Bragg that had already been canceled.
The claim is accurate but needs additional information. We rate it Mostly True.
sub-questions:","1. Did Trump's emergency declaration raid North Carolina military projects of 80 million dollars?
2. Was the entirety of the 80 million taken for Trump's emergency declaration allocated to planned projects?
3. Did Thom Tillis fully support Trump's emergency declaration plan?
4. Would Trump's emergency declaration for the border wall have used money from any state or other fund?
5. Would Trump's declaration for the border wall have taken money directly from North Carolina?"
"Says the large trade deficit with Japan stems from them sending ""millions of cars,"" while ""we send them wheat,"" but the deficit is ""changing rapidly.""Trump talked about U.S.-Japan trade in terms of Americans buying Japanese cars while the Japanese bought American wheat. He also said the trade deficit is changing rapidly.
Trump distorted the actual trade relations in many ways. While he was reasonably correct on the scale of cars imported to the United States, he cast wheat as a major part of U.S.-Japan trade. It accounts for less than 1% of sales. Trump sidestepped the top ranking items of civilian aircraft and related goods, and industrial machinery.
The numbers also undercut his implication that the trade deficit is changing rapidly for the better. It has held steady, although getting a bit worse each year.
Trump was close on the car and truck imports, but missed the mark in every other respect. We rate this claim Mostly False.
sub-questions:","1. Does Japan send the U.S. millions of cars?
2. Is wheat a large export from the U.S. to Japan?
3. Does the U.S. export more lucrative industrial items (like cars) to Japan?
4. Is the trade deficit with Japan rapidly changing for the better?
5. Does the trade deficit with Japan stem from them sending millions of cars, while we send them wheat?
6. Is the trade deficit with Japan rapidly changing?
7. Do we trade wheat with Japan to the extent presented by Trump?
8. Does Japan trade cars with us?"
"Says Raphael Warnock defended the “hatred” of Jeremiah Wright, the pastor who said “not God bless America, God damn America,” and gave Wright “an award for truth telling.”Loeffler claimed that Warnock defended the ""hatred"" of Wright, the pastor who said in a 2003 sermon, ""not God bless America, God damn America,"" and that Warnock gave Wright ""an award for truth telling.""
Wright’s sermon decried America’s historical mistreatment of Black people. What Warnock defended was Wright’s role as a preacher in the ""truth telling"" about that mistreatment.
A Texas divinity school, not Warnock, honored Wright for his career in ministry.
Loeffler’s statement contains an element of truth but ignores critical facts that would give a different impression. That’s our definition of Mostly False.
This fact check is available at IFCN’s 2020 US Elections FactChat #Chatbot on WhatsApp. Clickhere, for more.
RELATED:PolitiFact fact-checks and articles about the two Georgia Senate runoffs
sub-questions:","1. Did Jeremiah Wright's sermon spread ""hatred"" of America?
2. Did Rachel Warnock defend Jeremiah Wright?
3. Did Warnock give Wright an award?
4. Did Warnock specifically defend Wright's ""hatred""/sermon re: not God bless America , God damn America?
5. Did Warnock give Wright an award for ""truth telling?""
6. At any point, for any reason did Warnock defend Wright?"
"Say Sean Hannity said in 2008 that Obama’s willingness to meet with North Korea was ""disturbing"" while Trump’s ""willingness to meet with North Korea is a huge foreign policy win.""The side-by-side quotes cast Hannity as criticizing Obama for being willing to talk to North Korea while praising Trump for his willingness to do the same thing. The quotations are pretty much accurate.
But the image glosses over the different policy preferences of each man at the time Hannity spoke. In 2008, Obama said simply there were no preconditions for a meeting with the leader. In 2018, Trump’s administration voiced some relaxation on preconditions, but not a full rejection of them.
At the same time, Trump agreed to a meeting before North Korea had done more than agree to hold off on testing during any talks.
The image leaves out some context, but overall, we rate it Mostly True.
sub-questions:","1. Did Hannity criticize Obama for being willing to meet with North Korea while praising Trump for it?
2. Did Obama and Trump have similar conditions in which to meet with North Korea?
3. Do these quotes accurately characterize what Hannity said about these two presidents?
4. Did these two presidents have the same policy towards North Korea?
5. Did Trump agree to meet with North Korea without any met conditions?"
"“Biden says he doesn’t need voters to get elected.”A video posted on TikTok claimed, ""Biden says he doesn’t need voters to get elected.""
That’s a misrepresentation of Biden’s remarks in Michigan. Biden asked Americans to vote and elect him president.
We rate the post False.
sub-questions:","1. Did Biden say he didn't need voters to get elected?
2. Did Biden say he doesn't need voters to get elected?
3. Did Biden ask for votes at that time?"
"""We now have several hundred teachers that are over 100 years old and what I've read recently is that a baby born today, their age expectancy is 110, at least.""Hall said ""We now have several hundred teachers that are over 100 years old and what I've read recently is that a baby born today, their age expectancy is 110, at least.""
The Teacher Retirement System of Texas said that as of February, they had 321 retired members who were older than 100, so Hall is right about that number.
And he’s right that life expectancy has increased since the system was established, but his characterization is exaggerated.
The most recent study on mortality in the United States reports that the life expectancy for babies born in 2017 is 78.6 years, not 110.
We rate this claim Half True.
HALF TRUE – The statement is partially accurate but leaves out important details or takes things out of context.
sub-questions:","1. Are there several hundred teachers over 100?
2. Does a child born today have a life expectancy of 110?
3. Has life expectancy increased?
4. Does Texas have several hundred teachers who are now at least 100 years old?
5. Is the life expectancy of a baby born today 110?
6. Has life expectancy increased in the past 100 years?"
"Before COVID-19, “Iowa had one of the lowest unemployment rates in the country, and many employers were scrambling to find qualified employees to fill their job openings.”Whitver said unemployment in Iowa was among the lowest in the country before the U.S. deliberately shutdown parts of the economy to mitigate the spread of COVID-19, and that companies were struggling to find workers. He also said millions in the U.S. had been lifted out of poverty and wages had been increased.
This was all before the coronavirus, and subsequent statewide measures to contain its spread, wreaked havoc on Iowa’s employment and economy. The United States has almost certainlyentered a recession, and the economic outlook across the country is grim, but Iowa was in a relatively good place just a month ago.
Iowa unemployment had been at a historic low since 2017, and in February it ranked 11th in the country. Employers in Iowa did have trouble finding qualified workers to fill positions.
Wage increases are less clear. Wages have gone up 3 percent in the last year, but that increase hasn’t kept pace with many other states in the Midwest. Additionally, median wages only increased 4.4 percent since 2009, and the biggest wage increases were concentrated at the top.
The poverty rate in the U.S. has been declining steadily since 2015, and in 2018 it reached pre-recession levels. We rated Whitver’s claim as True.
sub-questions:","1. Before Covid-19, did Iowa have one of the lowest unemployment rates in the country?
2. Did employers have trouble finding qualified employees to fill job openings?
3. Was the economy improving in Iowa before the pandemic?
4. Was unemployment in Iowa lowest in the country before COVID shutdowns?
5. Were companies struggling to find workers before the COVID shutdowns?
6. Was Iowa's unemployment rate significantly lower than the rest of the country before COVID?"
"“When I came into office, the prior administration had contracted for not nearly enough vaccine to cover adults in America.”Biden said the Trump administration ""had contracted for not nearly enough vaccine to cover adults in America.""
While Trump was still in office, his administration had agreements in place to buy 400 million doses of authorized vaccine, or enough to inoculate about 200 million people. That’s less than the U.S. adult population.
However, KHN/Politifact reviewed the Trump administration's Operation Warp Speed contracts, and found that those included enough vaccine doses that, once cleared for use by the FDA, could inoculate about 550 million people — more than double the U.S. adult population.
Biden’s statement contains an element of truth, but ignores facts that would give a different impression.
We rate this claim Mostly False.
sub-questions:","1. At any point, Did Trump fail to contract enough vaccine to cover adults in America?`
2. Overall, Did Trump fail to contract enough vaccine to cover adults in America?`
3. Did the Trump administration contract for enough approved vaccine doses to cover adults in America?
4. Did the Trump administration contract for enough vaccine doses to cover adults in America overall?"
